,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1057,4671,Ultra-Trail del Rincon,UTR 170K,Spain,solo,170.0,6800.0,-6800.0,0,24,ESP,2013,10,18,24,238.0,0.2857142857142857
1058,4870,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,France,solo,164.6,10100.0,-10060.0,0,1363,FRA,2013,10,17,1363,265.6,0.38027108433734935
1059,4710,Ultra Marathon Sovev Emek,166 Km,Israel,solo,160.0,2450.0,-2450.0,0,16,ISR,2013,10,11,16,184.5,0.13279132791327913
1060,5883,Oil Creek 100 Trail Runs,OIL CREEK 100 MILES,United States,solo,162.3,5420.0,-5420.0,0,68,USA,2013,10,05,68,216.5,0.25034642032332566
1061,4204,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Italy,solo,162.0,7000.0,-7000.0,0,63,ITA,2013,10,04,63,232.0,0.3017241379310345
1062,4333,Mogollon Monster 100,MOGOLLON MONSTER 100,United States,solo,170.6,7010.0,-7010.0,0,24,USA,2013,09,28,24,240.7,0.29123390112172826
1063,4305,BEAR 100,BEAR 100,United States,solo,161.0,6865.0,-6865.0,0,174,USA,2013,09,27,174,229.65,0.29893315915523627
1064,4568,Black River Run,100 Miles,Sweden,solo,161.0,2400.0,-2400.0,0,22,SWE,2013,09,21,22,185.0,0.12972972972972974
1065,4123,Cotswold Way Century,100 Miles,United Kingdom,solo,164.5,3250.0,-3250.0,0,25,GBR,2013,09,21,25,197.0,0.1649746192893401
1066,4731,Virgil Crest Ultras,100M,United States,solo,161.6,6100.0,-6100.0,0,18,USA,2013,09,21,18,222.6,0.27403414195867026
1067,4938,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,United States,solo,161.0,6096.0,-6096.0,0,79,USA,2013,09,14,79,221.96,0.274644080014417
1068,4345,PLAIN 100 MILE ENDURANCE RUN,PLAIN 100 MILE ENDURANCE RUN,United States,solo,161.0,7850.0,-7850.0,0,13,USA,2013,09,14,13,239.5,0.3277661795407098
1069,4307,RUN RABBIT RUN,RUN RABBIT RUN 100 HARE,United States,solo,165.8,6160.0,-6160.0,0,28,USA,2013,09,13,28,227.4,0.27088830255057167
1070,9003,RUN RABBIT RUN,RUN RABBIT RUN 100 TORTOISE RUN,United States,solo,165.8,6155.0,-6155.0,0,55,USA,2013,09,13,55,227.35000000000002,0.2707279524961513
1071,4943,Glasshouse 100,GLASSHOUSE - 100 miles,Australia,solo,159.9,2409.0,-2397.0,0,45,AUS,2013,09,07,45,183.99,0.13093102886026414
1072,4747,Haliburton Forest Trail Race,HALIBURTON FOREST TRAIL RACE - 100 miles,Canada,solo,160.9,3120.0,-3120.0,0,38,CAN,2013,09,07,38,192.1,0.16241540864133264
1073,4914,L'Infernal Trail Des Vosges,160 Km,France,solo,156.0,7300.0,-7300.0,0,91,FRA,2013,09,07,91,229.0,0.31877729257641924
1074,5839,OSJ Yatsugatake Super Trail,100 Miles,Japan,solo,160.0,6400.0,-6400.0,0,154,JPN,2013,09,07,154,224.0,0.2857142857142857
1075,5263,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Canada,solo,161.1,5535.0,-5535.0,0,29,CAN,2013,09,06,29,216.45,0.25571725571725573
