,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
336,37711.0,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,2019-04-26,20:00:00,solo,164.7,3850.0,-3850.0,8.0,60.0
337,41399.0,Tuscany Crossing,160 km,Castiglioned'Orcia(SI),Italy,2019-04-26,18:00:00,solo,160.9,5590.0,-5570.0,13.0,200.0
338,47625.0,Ultra-Trail Mt. Fuji,UTMF - Full Course 165km,Fuji,Japan,2019-04-26,12:00:00,solo,165.9,7620.0,-7620.0,9.0,2400.0
339,35803.0,Ultra-Trail® Drakensberg,UTD 160,Underberg,South Africa,2019-04-26,12:00:00,solo,163.3,5610.0,-6740.0,8.0,0.0
340,39229.0,Iznik Ultra,160 K,Iznik,Turkey,2019-04-19,20:00:00,solo,162.5,4470.0,-4470.0,12.0,100.0
341,33939.0,Mustang Trail Race,Mustang Trail Race,Kathmandu,Nepal,2019-04-16,08:00:00,solo,169.0,10010.0,-9310.0,8.0,36.0
342,35721.0,100 Miles Of Istria,RED,Umag,Croatia,2019-04-12,16:00:00,solo,169.6,6360.0,-6640.0,12.0,600.0
343,44131.0,Hellbender 100 Mile,Hellbender 100 Mile,OldFort,United States,2019-04-12,04:30:00,solo,158.0,7470.0,-7440.0,11.0,125.0
344,45763.0,Jiangnan 100-Mile Endurance Run,100Mile / 168Km,Ningbo,China,2019-04-12,14:00:00,solo,159.8,7350.0,-7350.0,13.0,200.0
345,35373.0,Patagonia Run,100 Millas,SanMartinDeLosAndes,Argentina,2019-04-12,11:00:00,solo,158.0,7190.0,-7190.0,16.0,160.0
346,46567.0,Ultra Beast,Ultra Beast  161Km,POKARAN,India,2019-04-06,06:00:00,solo,162.3,3430.0,-3430.0,9.0,30.0
349,36539.0,Badger Mountain Challenge,100 Mile,Kennewick,United States,2019-03-29,07:00:00,solo,158.6,4450.0,-4430.0,18.0,70.0
351,42679.0,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,2019-03-16,06:00:00,solo,162.4,9810.0,-9820.0,12.0,50.0
352,38835.0,Addo Elephant Trail Run,100 Mile,Addo,South Africa,2019-03-15,14:00:00,solo,161.2,5640.0,-5130.0,16.0,100.0
354,44003.0,Ultra Trail Huang Shan,170 Km,Huangshan,China,2019-03-15,07:30:00,solo,171.8,9490.0,-9480.0,14.0,200.0
355,40681.0,Antelope Canyon,100 Mile,Page,United States,2019-03-09,06:00:00,solo,159.4,1850.0,-1850.0,10.0,300.0
356,35385.0,Epic Camí de Cavalls 360º,TrailRun e3/t2,EsMercadal,Spain,2019-03-08,08:30:00,team,155.0,3800.0,-3580.0,11.0,220.0
357,35579.0,Les Traces du Nord Basse-Terre,L'Ultra-Trail®,Petit-Bourg,France,2019-03-08,18:30:00,solo,161.4,6240.0,-6240.0,14.0,400.0
358,40171.0,100 MILLAS® SIERRAS DEL BANDOLERO,100 Millas,PradodelRey,Spain,2019-03-01,18:00:00,solo,164.0,6720.0,-6730.0,14.0,400.0
359,34071.0,Victoria 162,V162,HongKong,"Hong Kong, China",2019-02-23,00:00:00,solo,163.87,8140.0,-8140.0,18.0,300.0
360,45837.0,Victoria 162,V162 Team,HongKong,"Hong Kong, China",2019-02-23,00:00:00,team,163.87,8140.0,-8140.0,18.0,40.0
362,34063.0,Victoria 162,3-day Race,HongKong,"Hong Kong, China",2019-02-22,08:00:00,solo,163.0,8140.0,-8210.0,16.0,100.0
363,45839.0,Victoria 162,3-day Race Team,HongKong,"Hong Kong, China",2019-02-22,08:00:00,solo,163.0,8140.0,-8220.0,16.0,20.0
364,41595.0,Lone Star 100,100M,ElPaso,United States,2019-02-09,05:00:00,solo,158.6,5930.0,-5850.0,9.0,0.0
365,41505.0,Tarawera 100 Mile Endurance Run,100 Mile Endurance Run,Rotorua,New Zealand,2019-02-09,04:00:00,solo,161.4,4890.0,-4890.0,14.0,200.0
366,35113.0,Mad Fox Ultra,Ultra Valhalla Race,RostovtheGreat,Russia,2019-02-02,16:00:00,solo,159.9,1680.0,-1680.0,10.0,0.0
367,38011.0,Rocky Raccoon,100 Mile,Huntsville,United States,2019-02-02,06:00:00,solo,163.1,2260.0,-2260.0,19.0,500.0
368,37637.0,Coldwater Rumble,100 Miles,Goodyear,United States,2019-01-19,07:00:00,solo,161.5,2020.0,-2010.0,16.0,400.0
369,43893.0,HURT 100,HURT 100 MILE ENDURANCE RUN,,United States,2019-01-19,00:00:00,solo,161.0,8200.0,-8200.0,0.0,0.0
372,41369.0,Montane Spine Races,MRT Challenge,Edale,United Kingdom,2019-01-12,11:00:00,solo,174.2,4770.0,-4770.0,4.0,0.0
373,37065.0,Sandsjöbacka Trail,Ultra Triple,Åsa,Sweden,2019-01-11,18:00:00,solo,167.0,3360.0,-3220.0,13.0,100.0
374,31215.0,S1 Trail La Corsa Della Bora,Ultra,TRIESTE,Italy,2019-01-05,06:00:00,solo,164.2,6720.0,-6720.0,9.0,150.0
375,40653.0,Ultra-Trail® Tai Mo Shan,UTMT,NT,"Hong Kong, China",2019-01-05,08:00:00,solo,155.2,7640.0,-7620.0,12.0,100.0
376,33347.0,UTSZ Trail Races,100Miles,shenzhen,China,2018-12-22,05:00:00,solo,162.5,7200.0,-7170.0,16.0,40.0
379,38061.0,La Mision 2018 - VLA,La Mision 160 Km,VillalaAngostura,Argentina,2018-12-13,09:00:00,solo,163.3,7240.0,-7240.0,1.0,200.0
380,38139.0,Brazos Bend 100,100 M,Needville,United States,2018-12-08,06:00:00,solo,162.3,2730.0,-2720.0,6.0,0.0
381,36241.0,The Hitchcock Experience,100 Mile,HoneyCreek,United States,2018-12-08,11:00:00,solo,161.4,5050.0,-5050.0,21.0,75.0
382,27003.0,Tjörnarparen - Trail Ultra,100 miles,TJÖRNARP,Sweden,2018-12-08,09:00:00,solo,162.1,2290.0,-2310.0,9.0,50.0
383,34709.0,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,2018-12-07,14:00:00,solo,160.7,5750.0,-5750.0,4.0,50.0
384,38665.0,Falls 100 Ultra Trail Race,100 Mile,FallsofRough,United States,2018-12-01,07:00:00,solo,168.8,3350.0,-3350.0,41.0,140.0
385,32255.0,Chattanooga 100 Mile Trail Race,Chattanooga 100 Mile Trail Race,RisingFawn,United States,2018-11-30,08:00:00,solo,158.1,3770.0,-3770.0,14.0,250.0
386,33853.0,Gede Pangrango 100,150KM,Cibodas,Indonesia,2018-11-30,05:30:00,solo,164.0,14430.0,-14440.0,3.0,4.0
